잡아당기다,Pull
밤색,"Chestnut color, maroon"
밥맛,Appetite
배우자,"A mate, life partner"
복사,Reproduction
볶음밥,Frizzled rice
성별,Sex distinction
세탁,Laundry
소문나다,A rumor starts
소용없다,To be useless
속상하다,Be distressing
손수건,A handkerchief
송아지,"A calf,baby cow"
수돗물,Tap water
수만,Tens of thousands
수입되다,To be imported
수입품,An imported product
술자리,A banquet
식기,An eating vessel
싼값,A low price
안,"A plan,proposal,suggestion"
안부,"safety,welfare"
양주,Foreign wine/liquors
어린이날,Children’s Day (may 5th)
영화배우,Movie actor
오른발,The right foot
용서,"pardon,forgiveness"
우편,"post,mail"
이사하다,To move house
일등,"First class, first class/grade"
작아지다,Become smaller
정장,"Full dress, uniform"
좁히다,"Make narrow,restrict"
좋아,“That’s good”
죽,"In a very straight line, in a row"
줄무늬,A stripe
지워지다,To be erased
지저분하다,"Be messy, soiled, dirty"
진통,"Labor pains, travail"
찬성하다,"To approve, support (a plan)"
참석,"Attendance, participation"
초콜릿,Chocolate
최고급,The highest grade/class
최상,"The best, the finest"
최악,The worst
출국,Leaving a country
친해지다,"To get close, to get friendly"
코끝,The tip of one’s nose
터미널,Terminal
피자,Pizza
한국적,Korean (adjective)
햄,Ham
환영,Welcome
가로수,A roadside tree
간식,Snack
감,Persimmon
개다,To clear up or  become clear (weather)
고급스럽다,To be high-class
고소하다,Taste of sesame oil or  taste of a nut
공주,A royal princess
깨어지다,To waken
남,The south
네거리,Crossroads
노란색,Yellow
녹음하다,To record
달러,Dollar
대여섯,About five or six
되돌아보다,To look back on
마사지,Massage
만,10000
먹히다,"to be eaten,swallowed"
몸살,Flu aches and pains
무더위,High humidity
무용가,Dancer
박스,Box
반기다,"Rejoice, be glad of"
밥솥,Pressure cooker for rice
베개,A pillow
벨트,Belt
복사하다,"reproduce,copy"
붓다,to be swollen
비,A monument
사계절,The four seasons
사과하다,To apologize
